Whisky,Tema,Land,Vert,Mote nr,Dato
Isle of Jura Prophecy,Island,Skottland,Thomas,1,10/29/2012
Ledaig 10yrs,Island,Skottland,Thomas,1,10/29/2012
The Arran Port Finish,Island,Skottland,Thomas,1,10/29/2012
Nikka Coffey Grain,Japan,Japan,Bjorn,2,12/21/2012
Nikka Whisky Yoichi 10 yrs,Japan,Japan,Bjorn,2,12/21/2012
Bruichladdich Octomore 10 yrs,Islay,Skottland,oystein,3,5/4/2013
Bunnahabain 12 yrs,Islay,Skottland,oystein,3,5/4/2013
Laphroaig Quarter Qask,Islay,Skottland,oystein,3,5/4/2013
Amrut Fusion,Blindtest,Indien,Morten,4,10/26/2013
BenRaich 20 yrs,Blindtest,Skottland,Morten,4,10/26/2013
Scapa 16 yrs,Blindtest,Skottland,Morten,4,10/26/2013
Chivas Regal 12 yrs,Blended & Bourbon,Skottland,Trygve,5,1/25/2014
J&B Rare,Blended & Bourbon,Skottland,Trygve,5,1/25/2014
Makers Mark,Blended & Bourbon,Amerika,Trygve,5,1/25/2014
Glenfiddich Solera Reserva 15yrs,Whisky i tv-serier,Skottland,Anders,6,4/5/2014
The Macallan 18yrs,Whisky i tv-serier,Skottland,Anders,6,4/5/2014
Vat 69,Whisky i tv-serier,Skottland,Anders,6,4/5/2014
Amrut peated single malt,?,Indien,Jorgen,7,9/6/2014
Ardbeg Auriverdes,?,Skottland,Jorgen,7,9/6/2014
Mackmyra Den forsta utgavan,?,Sverige,Jorgen,7,9/6/2014
Highland Park Dark Origins,J.o.S.S,Skottland,Bjorn,,12/6/2014
Dalmore 18 yrs,3 X 18 yrs,Skottland,oyvind,8,2/21/2015
Glenmorangie 18 yrs,3 X 18 yrs,Skottland,oyvind,8,2/21/2015
Glenfiddich 18 yrs,3 X 18 yrs,Skottland,oyvind ,8,2/21/2015
Connemara Single Malt,Irsk Whiskey,Irland,Thomas,9,5/23/2015
Jameson Select Reserve ,Irsk Whiskey,Irland,Thomas,9,5/23/2015
The Irishmen 12yrs,Irsk Whiskey,Irland,Thomas,9,5/23/2015
Buffalo Centucky Straight Burbon,Amerika,Amerika,Bjorn,10,8/15/2015
Bulleit Burbon Frontier ,Amerika,Amerika,Bjorn,10,8/15/2015
Gentleman Jack,Amerika,Amerika,Bjorn,10,8/15/2015
Glengoyne 10 yrs,Highland,Skottland,oystein,11,10/24/2015
Glenmorangie 12 yrs,Highland,Skottland,oystein,11,10/24/2015
Old Putney 12 yrs,Highland,Skottland,oystein,11,10/24/2015
Gibsons Finest Canadian Whisky,Canada,Canada,Jorgen,12,2/27/2016
Canadian Club Small batch,Canada,Canada,Jorgen,12,2/27/2016
Glen Dronach 18 yrs,?,Skottland,Morten,13,8/27/2016
Glenfarclas 21 yrs,?,Skottland,Morten,13,8/27/2016
Glenmorangie Milsean,?,Skottland,Morten,13,8/27/2016
Aberfeldy 12yrs,?,Skottland,oyvind,14,11/5/2016
Glen Dronach 18 yrs,?,Skottland,oyvind,14,11/5/2016
Oban 14yrs,?,Skottland,oyvind,14,11/5/2016
The Peatmonster ,Torvfulle whiskyer fra Islay,Skottland,Anders,15,3/4/2017
Big Peat ,Torvfulle whiskyer fra Islay,Skottland,Anders,15,3/4/2017
Port Charlotte Islay Barley,Torvfulle whiskyer fra Islay,Skottland,Anders,15,3/4/2017
Gjoleid Norwegian Single Malt Sherry,Norsk,Norge,oystein,16,6/10/2017
Gjoleid Praksis 1.2,Norsk,Norge,oystein,16,6/10/2017
Eiktyrne Sokin og Eikin Sauternes Finish,Norsk,Norge,oystein,16,6/10/2017
Gjoleid Blindpassasjeren,Norsk,Norge,oystein,16,6/10/2017
Clontarf,Irsk Whiskey,Irland,Bjorn,17,9/9/2017
Teeling Single Grain,Irsk Whiskey,Irland,Bjorn,17,9/9/2017
Hyde No.1 10YO Singel Malt Sherry Cask,Irsk Whiskey,Irland,Bjorn,17,9/9/2017
